实验ID,开始日期,结束日期,基线版本,实验版本,改动参数1,改动参数2,改动原因,验证样本数,Top3次日均值(%),Top10次日均值(%),命中率变化(%),盈亏比变化,最大回撤变化(%),结论(保留/回滚),结论说明
exp-001,2026-04-15,2026-04-28,v1.0,v1.1,,,,,,,,,,,,,
exp-002,2026-04-29,2026-05-12,v1.1,v1.2,,,,,,,,,,,,,
